date,q_total,q_market,q_mining,q_nonmining_market,q_pubadm,q_edu,q_health,q_dwellings
1982-09-01,173384.0,122913.0,11680.0,111233.0,10684.0,11528.0,8573.0,19686.0
1982-12-01,169022.0,118385.0,12049.0,106336.0,10925.0,11344.0,8567.0,19801.0
1983-03-01,166798.0,116091.0,11947.0,104144.0,11002.0,11330.0,8469.0,19906.0
1983-06-01,168731.0,117730.0,12710.0,105020.0,11138.0,11350.0,8524.0,19989.0
1983-09-01,173370.0,121312.0,12591.0,108721.0,11554.0,11715.0,8694.0,20095.0
1983-12-01,176533.0,124110.0,12561.0,111549.0,11723.0,11610.0,8885.0,20205.0
1984-03-01,179254.0,126356.0,13488.0,112868.0,11914.0,11748.0,8921.0,20315.0
1984-06-01,182015.0,127962.0,13875.0,114087.0,12188.0,12297.0,9143.0,20425.0
1984-09-01,185444.0,131219.0,14316.0,116903.0,12289.0,12228.0,9280.0,20428.0
1984-12-01,186001.0,131474.0,14404.0,117070.0,12265.0,12212.0,9419.0,20631.0
1985-03-01,189262.0,134364.0,14710.0,119654.0,12179.0,12300.0,9587.0,20832.0
1985-06-01,191669.0,136561.0,16407.0,120154.0,12324.0,12146.0,9615.0,21023.0
1985-09-01,194940.0,138834.0,17591.0,121243.0,12479.0,12639.0,9758.0,21230.0
1985-12-01,196084.0,138777.0,16558.0,122219.0,12696.0,13299.0,9889.0,21423.0
1986-03-01,196183.0,139175.0,16747.0,122428.0,12856.0,12534.0,10007.0,21611.0
1986-06-01,195327.0,137505.0,15002.0,122503.0,13009.0,12952.0,10056.0,21805.0
1986-09-01,197092.0,138256.0,14165.0,124091.0,13087.0,13706.0,10051.0,21992.0
1986-12-01,197524.0,138609.0,15299.0,123310.0,13022.0,13644.0,10087.0,22162.0
1987-03-01,200424.0,142146.0,15968.0,126178.0,13137.0,12659.0,10152.0,22330.0
1987-06-01,203526.0,143628.0,16569.0,127059.0,13291.0,13690.0,10413.0,22504.0
1987-09-01,207277.0,146519.0,16758.0,129761.0,13613.0,13740.0,10731.0,22674.0
1987-12-01,212679.0,151442.0,19245.0,132197.0,13791.0,13799.0,10795.0,22852.0
1988-03-01,215139.0,153356.0,18539.0,134817.0,14015.0,13851.0,10872.0,23045.0
1988-06-01,216375.0,154185.0,18549.0,135636.0,14015.0,13896.0,11032.0,23247.0
1988-09-01,219213.0,156453.0,18624.0,137829.0,14070.0,13843.0,11375.0,23472.0
1988-12-01,223228.0,159965.0,19529.0,140436.0,14187.0,13903.0,11470.0,23703.0
1989-03-01,224529.0,160699.0,19181.0,141518.0,13995.0,14049.0,11852.0,23934.0
1989-06-01,228299.0,164216.0,19397.0,144819.0,13905.0,14281.0,11715.0,24182.0
1989-09-01,231164.0,166677.0,20203.0,146474.0,13776.0,14697.0,11585.0,24429.0
1989-12-01,231749.0,166672.0,20075.0,146597.0,13673.0,14928.0,11826.0,24650.0
1990-03-01,234503.0,168808.0,21886.0,146922.0,13780.0,15058.0,11993.0,24864.0
1990-06-01,234363.0,168181.0,22261.0,145920.0,13834.0,15088.0,12194.0,25066.0
1990-09-01,234662.0,168308.0,22342.0,145966.0,13828.0,15002.0,12261.0,25263.0
1990-12-01,234445.0,167605.0,22508.0,145097.0,13921.0,15031.0,12434.0,25454.0
1991-03-01,232462.0,165038.0,21893.0,143145.0,14097.0,15076.0,12612.0,25639.0
1991-06-01,232485.0,164691.0,22482.0,142209.0,14121.0,15135.0,12723.0,25815.0
1991-09-01,231880.0,163443.0,22841.0,140602.0,14466.0,15099.0,12887.0,25985.0
1991-12-01,231246.0,162568.0,23736.0,138832.0,14670.0,15158.0,12685.0,26165.0
1992-03-01,234138.0,165107.0,23413.0,141694.0,14601.0,15328.0,12745.0,26357.0
1992-06-01,234919.0,165370.0,23316.0,142054.0,14653.0,15607.0,12733.0,26556.0
1992-09-01,235853.0,165520.0,23347.0,142173.0,14641.0,16119.0,12810.0,26763.0
1992-12-01,240097.0,168772.0,23673.0,145099.0,14925.0,16398.0,13010.0,26992.0
1993-03-01,243961.0,172089.0,23281.0,148808.0,15076.0,16557.0,13016.0,27223.0
1993-06-01,244816.0,172326.0,23934.0,148392.0,15174.0,16594.0,13263.0,27459.0
1993-09-01,246484.0,173356.0,23751.0,149605.0,15275.0,16515.0,13636.0,27702.0
1993-12-01,249030.0,175645.0,22984.0,152661.0,15353.0,16552.0,13534.0,27946.0
1994-03-01,253399.0,179539.0,24619.0,154920.0,15707.0,16585.0,13370.0,28198.0
1994-06-01,256103.0,181435.0,24526.0,156909.0,15974.0,16612.0,13602.0,28480.0
1994-09-01,260030.0,183955.0,25399.0,158556.0,16624.0,16604.0,14061.0,28786.0
1994-12-01,259946.0,184084.0,25535.0,158549.0,16130.0,16629.0,14037.0,29066.0
1995-03-01,260501.0,184159.0,25730.0,158429.0,16065.0,16683.0,14285.0,29309.0
1995-06-01,263417.0,186917.0,26086.0,160831.0,16088.0,16767.0,14139.0,29506.0
1995-09-01,267495.0,190384.0,27314.0,163070.0,16091.0,16850.0,14506.0,29664.0
1995-12-01,270815.0,192816.0,27226.0,165590.0,16379.0,16938.0,14814.0,29868.0
1996-03-01,273667.0,194561.0,28569.0,165992.0,16853.0,17065.0,15067.0,30121.0
1996-06-01,273778.0,194795.0,28957.0,165838.0,15908.0,17231.0,15401.0,30443.0
1996-09-01,277596.0,197572.0,28534.0,169038.0,16491.0,17463.0,15281.0,30789.0
1996-12-01,281232.0,200482.0,28677.0,171805.0,16796.0,17640.0,15250.0,31064.0
1997-03-01,282563.0,200627.0,27713.0,172914.0,17795.0,17794.0,15082.0,31265.0
1997-06-01,288340.0,205625.0,28646.0,176979.0,17143.0,17925.0,16256.0,31391.0
1997-09-01,289234.0,208295.0,28517.0,179778.0,16721.0,18006.0,14683.0,31529.0
1997-12-01,294864.0,210924.0,29721.0,181203.0,17293.0,18132.0,16812.0,31703.0
1998-03-01,296151.0,212177.0,29590.0,182587.0,17423.0,18274.0,16377.0,31900.0
1998-06-01,299313.0,215599.0,30204.0,185395.0,16749.0,18433.0,16406.0,32126.0
1998-09-01,303862.0,219357.0,29657.0,189700.0,17083.0,18664.0,16421.0,32337.0
1998-12-01,309088.0,223854.0,28814.0,195040.0,17577.0,18818.0,16180.0,32659.0
1999-03-01,312200.0,225349.0,29847.0,195502.0,18515.0,18928.0,16494.0,32914.0
1999-06-01,313694.0,226239.0,29374.0,196865.0,18748.0,18994.0,16560.0,33153.0
1999-09-01,316655.0,229151.0,30089.0,199062.0,18279.0,19002.0,16845.0,33378.0
1999-12-01,320742.0,232219.0,30109.0,202110.0,18541.0,19072.0,17186.0,33724.0
2000-03-01,324327.0,235132.0,31021.0,204111.0,18447.0,19154.0,17456.0,34138.0
2000-06-01,326628.0,237186.0,32382.0,204804.0,18032.0,19249.0,17467.0,34694.0
2000-09-01,327815.0,237529.0,32713.0,204816.0,18196.0,19355.0,17519.0,35216.0
2000-12-01,327244.0,235872.0,33038.0,202834.0,18581.0,19450.0,17743.0,35598.0
2001-03-01,329806.0,236139.0,33922.0,202217.0,19387.0,19552.0,18849.0,35879.0
2001-06-01,334539.0,241190.0,33767.0,207423.0,18897.0,19661.0,18747.0,36044.0
2001-09-01,336915.0,242726.0,33620.0,209106.0,19528.0,19782.0,18826.0,36053.0
2001-12-01,340322.0,245556.0,33139.0,212417.0,19312.0,19890.0,19405.0,36159.0
2002-03-01,345588.0,249751.0,34165.0,215586.0,20231.0,19991.0,19281.0,36334.0
2002-06-01,348620.0,253023.0,33323.0,219700.0,19320.0,20085.0,19613.0,36579.0
2002-09-01,350341.0,254400.0,33891.0,220509.0,18815.0,20186.0,20042.0,36898.0
2002-12-01,352731.0,255742.0,34071.0,221671.0,19656.0,20283.0,19884.0,37166.0
2003-03-01,353429.0,255498.0,33492.0,222006.0,20021.0,20379.0,20098.0,37433.0
2003-06-01,354750.0,256651.0,33014.0,223637.0,19479.0,20473.0,20447.0,37700.0
2003-09-01,359876.0,261773.0,32845.0,228928.0,18939.0,20564.0,20656.0,37944.0
2003-12-01,366203.0,266526.0,32361.0,234165.0,19936.0,20665.0,20820.0,38256.0
2004-03-01,370877.0,270229.0,32540.0,237689.0,20045.0,20769.0,21197.0,38637.0
2004-06-01,374622.0,272655.0,32629.0,240026.0,20606.0,20875.0,21394.0,39092.0
2004-09-01,374928.0,273292.0,33618.0,239674.0,19595.0,20983.0,21450.0,39608.0
