DATAFLOW,MEASURE,DATA_ITEM,EXP_IMP,TSEST,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2021-Q2,43855,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2021-Q3,43115,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2021-Q4,45324,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2022-Q1,40224,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2022-Q2,43991,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2022-Q3,44830,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2022-Q4,47772,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2023-Q1,43149,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2023-Q2,46667,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2023-Q3,44787,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2023-Q4,46612,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2024-Q1,41482,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2024-Q2,46985,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2024-Q3,45548,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2024-Q4,46108,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2025-Q1,41993,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2025-Q2,47988,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2025-Q3,46970,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2025-Q4,51017,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1988-Q1,6312,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1988-Q2,5719,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1988-Q3,6224,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1988-Q4,6284,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1989-Q1,5896,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1989-Q2,6182,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1989-Q3,6397,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1989-Q4,6455,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,1990-Q1,6445,AUD,6,,
