DATAFLOW,MEASURE,ASGS_2016,LABOURACCT_IND,TSEST,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT,DECIMALS
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2020-Q1,97378.09473846624,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2020-Q2,100143.7996335882,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2020-Q3,103321.022270923,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2020-Q4,99524.44785259523,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2021-Q1,104216.4497783395,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2021-Q2,98022.07422123525,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2021-Q3,98696.74942068373,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2021-Q4,104856.7852944946,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2022-Q1,107663.8940826749,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2022-Q2,103761.2976459352,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2022-Q3,103688.8921603451,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2022-Q4,108347.3380722069,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2023-Q1,112294.1242582703,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2023-Q2,114849.922756265,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2023-Q3,112905.1647419309,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2023-Q4,114622.7987907761,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2024-Q1,114824.2370543645,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2024-Q2,119367.449286247,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2024-Q3,122606.4694920743,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2024-Q4,122003.3306096059,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2025-Q1,121179.3846440491,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2025-Q2,122525.7352372938,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2025-Q3,123795.7769052409,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2025-Q4,123948.7732003754,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1994-Q3,79.6190715873,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1994-Q4,80.579712528561,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1995-Q1,85.988775970992,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1995-Q2,88.609496952525,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1995-Q3,93.455069755473,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1995-Q4,96.945134601168,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1996-Q1,95.978327061412,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1996-Q2,94.807368743484,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1996-Q3,95.587586470262,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1996-Q4,96.505667449504,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1997-Q1,98.224744751223,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1997-Q2,99.186483989278,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1997-Q3,97.027471650945,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1997-Q4,98.239438416534,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1998-Q1,94.761071000159,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1998-Q2,94.257392461724,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1998-Q3,91.361735939353,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1998-Q4,84.026024388668,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1999-Q1,87.518290534863,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1999-Q2,84.564853985946,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1999-Q3,83.939130134586,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,1999-Q4,77.81824375292,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2000-Q1,77.529307061388,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2000-Q2,78.019720938952,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2000-Q3,76.385837963663,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2000-Q4,77.823040735664,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2001-Q1,78.43412103196,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2001-Q2,78.734423202453,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2001-Q3,78.62135079574,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2001-Q4,80.057983402676,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2002-Q1,79.432231827921,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2002-Q2,78.381198373681,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2002-Q3,79.583162221858,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2002-Q4,80.310708745907,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2003-Q1,79.900246582206,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2003-Q2,79.143993952028,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2003-Q3,82.52437322848,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2003-Q4,81.738267329528,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2004-Q1,78.288267643072,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2004-Q2,77.767926385453,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2004-Q3,77.825242578128,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2004-Q4,78.945540762755,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2005-Q1,84.270656850753,NUM,3,,,1
